0,7532.6
0.05,7497.7
0.1,7463
0.15,7428.4
0.2,7393.9
0.25,7359.7
0.3,7325.5
0.35,7291.6
0.4,7257.8
0.45,7224.1
0.5,7190.6
0.55,7157.3
0.6,7124.1
0.65,7091
0.7,7058.1
0.75,7025.4
0.8,6992.8
0.85,6960.4
0.9,6928.2
0.95,6896.1
1,6864.1
1.05,6832.3
1.1,6800.7
1.15,6769.2
1.2,6737.8
1.25,6706.6
1.3,6675.5
1.35,6644.6
1.4,6613.8
1.45,6583.2
1.5,6552.7
1.55,6522.3
1.6,6492.1
1.65,6462
1.7,6432
1.75,6402.2
1.8,6372.5
1.85,6342.9
1.9,6313.5
1.95,6284.2
2,6255.1
2.05,6226.1
2.1,6197.3
2.15,6168.6
2.2,6140
2.25,6111.5
2.3,6083.2
2.35,6055.1
2.4,6027
2.45,5999.1
2.5,5971.3
2.55,5943.6
2.6,5916.1
2.65,5888.6
2.7,5861.3
2.75,5834.1
2.8,5807
2.85,5780.1
2.9,5753.3
2.95,5726.6
3,5700
3.05,5673.6
3.1,5647.2
3.15,5621
3.2,5595
3.25,5569
3.3,5543.2
3.35,5517.5
3.4,5491.9
3.45,5466.4
3.5,5441.1
3.55,5415.9
3.6,5390.8
3.65,5365.8
3.7,5341
3.75,5316.2
3.8,5291.6
3.85,5267.1
3.9,5242.7
3.95,5218.4
4,5194.2
4.05,5170.1
4.1,5146.2
4.15,5122.3
4.2,5098.6
4.25,5074.9
4.3,5051.4
4.35,5028
4.4,5004.7
4.45,4981.5
4.5,4958.4
4.55,4935.4
4.6,4912.6
4.65,4889.8
4.7,4867.1
4.75,4844.6
4.8,4822.2
4.85,4799.8
4.9,4777.6
4.95,4755.4
5,4733.4
5.05,4711.5
5.1,4689.6
5.15,4667.9
5.2,4646.2
5.25,4624.7
5.3,4603.3
5.35,4581.9
5.4,4560.7
5.45,4539.5
5.5,4518.5
5.55,4497.6
5.6,4476.7
5.65,4456
5.7,4435.3
5.75,4414.8
5.8,4394.3
5.85,4374
5.9,4353.7
5.95,4333.5
6,4313.4
6.05,4293.4
6.1,4273.5
6.15,4253.6
6.2,4233.9
6.25,4214.2
6.3,4194.7
6.35,4175.2
6.4,4155.8
6.45,4136.5
6.5,4117.3
6.55,4098.2
6.6,4079.2
6.65,4060.3
6.7,4041.4
6.75,4022.7
6.8,4004.1
6.85,3985.5
6.9,3967.1
6.95,3948.7
7,3930.4
7.05,3912.2
7.1,3894.1
7.15,3876.1
7.2,3858.1
7.25,3840.2
7.3,3822.4
7.35,3804.7
7.4,3787.1
7.45,3769.6
7.5,3752.1
7.55,3734.7
7.6,3717.4
7.65,3700.1
7.7,3683
7.75,3665.9
7.8,3648.9
7.85,3632
7.9,3615.1
7.95,3598.4
8,3581.7
8.05,3565.1
8.1,3548.6
8.15,3532.2
8.2,3515.8
8.25,3499.5
8.3,3483.3
8.35,3467.2
8.4,3451.2
8.45,3435.2
8.5,3419.3
8.55,3403.5
8.6,3387.7
8.65,3372
8.7,3356.4
8.75,3340.9
8.8,3325.4
8.85,3310
8.9,3294.6
8.95,3279.3
9,3264.1
9.05,3248.9
9.1,3233.8
9.15,3218.8
9.2,3203.8
9.25,3188.9
9.3,3174.1
9.35,3159.4
9.4,3144.7
9.45,3130
9.5,3115.5
9.55,3101
9.6,3086.6
9.65,3072.3
9.7,3058.1
9.75,3043.9
9.8,3029.8
9.85,3015.8
9.9,3001.8
9.95,2987.9
10,2974.1
10.05,2960.4
10.1,2946.7
10.15,2933.1
10.2,2919.5
10.25,2906
10.3,2892.6
10.35,2879.3
10.4,2866
10.45,2852.8
10.5,2839.6
10.55,2826.5
10.6,2813.4
10.65,2800.5
10.7,2787.5
10.75,2774.7
10.8,2761.8
10.85,2749.1
10.9,2736.4
10.95,2723.8
11,2711.2
11.05,2698.7
11.1,2686.2
11.15,2673.8
11.2,2661.5
11.25,2649.2
11.3,2637
11.35,2624.9
11.4,2612.7
11.45,2600.7
11.5,2588.7
11.55,2576.8
11.6,2564.9
11.65,2553
11.7,2541.3
11.75,2529.5
11.8,2517.9
11.85,2506.2
11.9,2494.7
11.95,2483.2
12,2471.7
12.05,2460.3
12.1,2448.9
12.15,2437.6
12.2,2426.4
12.25,2415.2
12.3,2404.1
12.35,2393
12.4,2381.9
12.45,2370.9
12.5,2360
12.55,2349.1
12.6,2338.3
12.65,2327.5
12.7,2316.7
12.75,2306
12.8,2295.4
12.85,2284.8
12.9,2274.3
12.95,2263.8
13,2253.3
13.05,2242.9
13.1,2232.5
13.15,2222.2
13.2,2212
13.25,2201.8
13.3,2191.6
13.35,2181.5
13.4,2171.4
13.45,2161.4
13.5,2151.4
13.55,2141.5
13.6,2131.6
13.65,2121.8
13.7,2112
13.75,2102.2
13.8,2092.5
13.85,2082.9
13.9,2073.3
13.95,2063.7
14,2054.2
14.05,2044.7
14.1,2035.3
14.15,2025.9
14.2,2016.6
14.25,2007.2
14.3,1998
14.35,1988.7
14.4,1979.6
14.45,1970.4
14.5,1961.3
14.55,1952.2
14.6,1943.2
14.65,1934.2
14.7,1925.2
14.75,1916.3
14.8,1907.4
14.85,1898.6
14.9,1889.8
14.95,1881
15,1872.2
